Date,Price,Pop
2020-07-28 18:12:47.031591,74.4,237913
2020-07-28 18:13:02.472417,74.54,237913
2020-07-28 18:13:17.918579,74.56,237913
2020-07-28 18:13:33.363342,74.56,237913
2020-07-28 18:13:48.783533,74.59,237913
2020-07-28 18:14:04.207567,74.59,237913
2020-07-28 18:14:19.659753,74.59,237913
2020-07-28 18:14:35.091696,74.59,237913
2020-07-28 18:14:50.548725,74.59,237913
2020-07-28 18:15:05.975804,74.54,237913
2020-07-28 18:15:21.386996,74.59,237913
2020-07-28 18:15:36.861666,74.59,237913
2020-07-28 18:15:52.269566,74.54,237913
2020-07-28 18:16:07.695582,74.54,237913
2020-07-28 18:16:23.110556,74.54,237913
2020-07-28 18:16:38.567258,74.55,237913
2020-07-28 18:16:54.009111,74.54,237913
2020-07-28 18:17:09.450098,74.52,237913
2020-07-28 18:17:24.893377,74.54,237913
2020-07-28 18:17:40.341730,74.55,237913
2020-07-28 18:17:55.804822,74.54,237913
2020-07-28 18:18:11.272931,74.5,237913
2020-07-28 18:18:26.703463,74.5,237913
2020-07-28 18:18:42.111702,74.5,237913
2020-07-28 18:18:57.582830,74.44,237913
2020-07-28 18:19:13.007046,74.45,237913
2020-07-28 18:19:28.440751,74.45,237913
Date,Price,Pop
2020-07-28 18:19:43.888902,74.45,237913
2020-07-28 18:19:59.313958,74.45,237913
2020-07-28 18:20:14.747897,74.43,237913
2020-07-28 18:20:30.193049,74.43,237913
2020-07-28 18:20:45.626847,74.43,237913
2020-07-28 18:21:01.063224,74.45,237913
2020-07-28 18:21:16.487253,74.41,237913
2020-07-28 18:21:31.922075,74.4,237913
2020-07-28 18:21:47.385901,74.42,237913
2020-07-28 18:22:02.815404,74.43,237913
2020-07-28 18:22:18.253758,74.43,237913
2020-07-28 18:22:33.703690,74.42,237913
2020-07-28 18:22:49.135954,74.42,237913
2020-07-28 18:23:04.569115,74.42,237913
2020-07-28 18:23:19.987281,74.41,237913
2020-07-28 18:23:35.423524,74.41,237913
2020-07-28 18:23:50.850001,74.41,237913
2020-07-28 18:24:06.286526,74.39,237913
2020-07-28 18:24:21.718118,74.39,237913
2020-07-28 18:24:37.263747,74.4,237913
2020-07-28 18:24:52.689565,74.55,237913
2020-07-28 18:25:08.094727,74.55,237913
2020-07-28 18:25:23.512447,74.54,237913
2020-07-28 18:25:38.964432,74.55,237913
2020-07-28 18:25:54.396613,74.5,237913
2020-07-28 18:26:09.835697,74.59,237913
2020-07-28 18:26:25.273856,74.59,237913
2020-07-28 18:26:40.683041,74.59,237913
2020-07-28 18:26:56.092843,74.59,237913
2020-07-28 18:27:11.517142,74.58,237913
2020-07-28 18:27:26.943875,74.57,237913
2020-07-28 18:27:42.366057,74.55,237913
2020-07-28 18:27:57.791574,74.53,237913
2020-07-28 18:28:13.225125,74.56,237913
2020-07-28 18:28:28.660769,74.56,237913
2020-07-28 18:28:44.094544,74.5,237913
2020-07-28 18:28:59.531479,74.5,237913
2020-07-28 18:29:14.964798,74.49,237913
2020-07-28 18:29:30.382234,74.45,237913
2020-07-28 18:29:45.815541,74.5,237913
2020-07-28 18:30:01.288366,74.49,237913
